ep,lam_mean,lam_std,rho_mean,c_mean,post_var_mean,kl
1,0.6236683545323909,0.018528951499763767,0.9383793794702279,0.9986566575307322,0.00022404097635770283,149.22070254733808
2,0.6236683036889826,0.018528868271527416,0.9383793794702279,0.998656938267662,0.00022399407664587173,149.2189978766944
3,0.6235537484930241,0.018527046525571127,0.9383793794702279,0.9993240322527921,0.00011269939477449105,149.21727379892243
4,0.6236170672871164,0.018528066536328783,0.9383793794702279,0.9989552276527206,0.00017421980223568774,149.2155439721078
5,0.623741654309441,0.018529954860630814,0.9383793794702279,0.9982301047603949,0.0002952439262355926,149.21381613537247
6,0.6237281910660036,0.018529853182857922,0.9383793794702279,0.998308447941172,0.00028216408806065214,149.21210290409624
7,0.6236504639416556,0.018528660551049615,0.9383793794702279,0.9987608007395098,0.0002066612990754836,149.2103804989966
8,0.6235926254627394,0.018527749182756986,0.9383793794702279,0.9990975868985887,0.00015047010333560192,149.2086619033621
9,0.6236532488261918,0.01852872978579049,0.9383793794702279,0.9987445924137919,0.00020936608059011818,149.2069319385117
10,0.6237373720558,0.018529985939271732,0.9383793794702279,0.9982550387768953,0.0002910809206425749,149.2052007447409
11,0.6236979655424396,0.01852928940060536,0.9383793794702279,0.9984842993005829,0.00025280844670328746,149.20348887811505
12,0.6235539266923794,0.018527124138380157,0.9383793794702279,0.99932300965717,0.00011286993982091203,149.20177196190312
13,0.6235791552987962,0.018527500931085975,0.9383793794702279,0.9991760368618408,0.00013738379905442764,149.20004027514605
14,0.6236076733068063,0.018527925795682104,0.9383793794702279,0.9990099363581734,0.00016509234711056228,149.19831071700082
15,0.6237159672342399,0.018529670634072973,0.9383793794702279,0.9983795712549458,0.0002702905167367779,149.19658541181468
16,0.6236066448298643,0.01852790936160661,0.9383793794702279,0.9990159240939014,0.0001640934091971215,149.19486903557114
17,0.6235593525083969,0.01852713307416141,0.9383793794702279,0.9992913863361997,0.00011814417592813122,149.19314474399974
18,0.623643046496256,0.018528596825768955,0.9383793794702279,0.9988039987806149,0.0001994529515345023,149.19141786867658
19,0.6237467395800667,0.018530195120012194,0.9383793794702279,0.9982005575757682,0.00030017726491390087,149.1896974616452
20,0.6235186509931082,0.018526549202688015,0.9383793794702279,0.9995285557328524,7.859257462972601e-05,149.18799933779445
21,0.6235646025573021,0.018527238538723262,0.9383793794702279,0.9992608050079637,0.00012324473475356696,149.18626467123377
22,0.6236633569795301,0.018528817956600763,0.9383793794702279,0.9986857412219208,0.00021918721627893207,149.18454567623576
23,0.6235670357824858,0.018527366109331662,0.9383793794702279,0.9992466447701946,0.00012560656343584814,149.18282116331127
24,0.623520096245824,0.018526589886455027,0.9383793794702279,0.9995201363157681,7.99964838530668e-05,149.18108825799416
25,0.6235945922779703,0.018527754498901886,0.9383793794702279,0.9990861291383992,0.00015238147555242336,149.1793572454006
26,0.6237490360447151,0.018530054173206356,0.9383793794702279,0.9981871614316857,0.0003024140269010583,149.17763347177174
27,0.6236692153960854,0.01852895464705956,0.9383793794702279,0.9986516454856956,0.00022487741834122514,149.17592494413597
28,0.6236329254074345,0.01852829782299483,0.9383793794702279,0.9988628910840394,0.00018962599404815926,149.17421655637648
29,0.6235872530216218,0.018527663617334655,0.9383793794702279,0.9991288744517483,0.00014525089234219754,149.1725088024573
30,0.6236955117675251,0.0185292026609101,0.9383793794702279,0.9984985672985411,0.0002504269219272015,149.1707874424368
31,0.6236664460466878,0.018528754066281645,0.9383793794702279,0.9986677384087754,0.00022219173876406726,149.16907881736816
32,0.6235420912434407,0.018526875092950954,0.9383793794702279,0.9993919524823877,0.00010137208708143275,149.16736600591813
33,0.6235685326674102,0.018527314556130322,0.9383793794702279,0.9992379090414987,0.0001270635860304956,149.16563878639445
34,0.6236493144750467,0.01852861205600362,0.9383793794702279,0.9987674856366505,0.00020554575946435112,149.16390983739686
35,0.623763075739366,0.018530346052345624,0.9383793794702279,0.9981055221983598,0.00031604580957328676,149.16219533737495
36,0.6235319399490361,0.018526705840072107,0.9383793794702279,0.9994511042973433,9.150774310402978e-05,149.16051228955916
37,0.6236217095580182,0.018528189545968226,0.9383793794702279,0.9989282095184278,0.00017872755249320274,149.15879359335017
38,0.6237057553461426,0.018529451495471846,0.9383793794702279,0.99843897876157,0.0002603734870118786,149.15707686565003
39,0.6235316209840197,0.0185267765116627,0.9383793794702279,0.9994529766215786,9.119552111140324e-05,149.15537707881282
40,0.6236272912160806,0.018528293673587097,0.9383793794702279,0.9988957147959528,0.00018414925938661298,149.1536747738671
