,Acc,macro_F1,ECE,Brier,AUC_ovo,lambda_bar,post_var,KL,loss
HINN (full),0.3988675684177414,0.35832973186881806,0.021626021934131254,0.3323985548428457,0.5414459465852702,0.6236272912160806,0.00018414925938661298,149.1536747738671,1.2598812357853815
Data-only (lambda=1),0.4089336269267065,0.333318723667039,0.013188627140131288,0.3309901845417156,0.5474707580650412,0.9999994373186775,4.450181281789664e-05,149.154750301656,1.241493304124006
Human-only (lambda=0),0.3435042466184335,0.32363533794059934,0.06692510722048063,0.3382030072489612,0.5273855677705858,0.001742786058915963,4.441768573483915e-05,149.1530195953549,1.2481669104327175
