t,lambda_final,rho_final,c_final,cov_trace_final,m_train
0,1.0,0.0,0.9989250868517385,0.0005377456408661365,0
1,0.61174406429083,1.0,0.9989313215366293,0.0005346249536812994,1
2,0.6202183690273213,0.951229424500714,0.9989165815374633,0.0005420028922839023,0
3,0.6117539741068438,1.0,0.9988722020556624,0.0005642171935017143,1
4,0.6117518580230804,1.0,0.998884825641325,0.0005578983141345993,1
5,0.6202225810880346,0.951229424500714,0.9988920265538942,0.0005542938512231065,0
6,0.6117490029977511,1.0,0.9989018577924399,0.0005493728037502868,1
7,0.6202199164394178,0.951229424500714,0.998907560513721,0.0005465183166161072,0
8,0.6288728110005123,0.9048374180359595,0.9989139961513575,0.0005432969890580353,0
9,0.6376806126705917,0.8607079764250578,0.998923004388959,0.0005387879937801,0
10,0.6466126842123994,0.8187307530779818,0.9989558313324545,0.0005223570957138331,0
11,0.611737192009266,1.0,0.998972322926365,0.0005141027478907146,1
12,0.6202105814606479,0.951229424500714,0.9989619828572909,0.0005192781278039804,0
13,0.6288705109834188,0.9048374180359595,0.9989271457296965,0.0005367150952009317,0
14,0.6376767791807751,0.8607079764250578,0.9989445709293662,0.0005279932140487392,0
15,0.6117442687192535,1.0,0.9989301019148813,0.0005352354173168927,1
16,0.6202171882341472,0.951229424500714,0.9989234653431078,0.0005385572682684843,0
17,0.6117483436932033,1.0,0.998905791050456,0.0005474040166058602,1
18,0.6202250384066089,0.951229424500714,0.9988777015601055,0.00056146434419201,0
19,0.6288735299113449,0.9048374180359595,0.9989098860673006,0.0005453542695287993,0
20,0.637679696440338,0.8607079764250578,0.9989281588848341,0.0005362079738217166,0
21,0.6117486343183216,1.0,0.9989040572455467,0.0005482718694251575,1
22,0.6117494652828488,1.0,0.9988990999206075,0.0005507532575045337,1
23,0.611743685691866,1.0,0.9989335802672248,0.0005334943814421949,1
24,0.6202201459053627,0.951229424500714,0.9989062227948007,0.0005471879080121623,0
25,0.6288652829934663,0.9048374180359595,0.9989570358864196,0.000521754189558667,0
26,0.637682515905737,0.8607079764250578,0.998912297345378,0.000544147316228644,0
27,0.6466160534261656,0.8187307530779818,0.9989371193557214,0.0005317229512404142,0
28,0.611743072802993,1.0,0.9989372367933185,0.0005316641699678198,1
29,0.6117415315676136,1.0,0.9989464319703723,0.0005270617112773613,1
30,0.6202153349587036,0.951229424500714,0.9989342697322517,0.0005331492810257916,0
31,0.6117425491446208,1.0,0.9989403609816079,0.0005301004163660499,1
32,0.6202142362875258,0.951229424500714,0.9989406749413258,0.0005299432700133607,0
33,0.6117437438898555,1.0,0.9989332330561107,0.0005336681723634861,1
34,0.6202166559350969,0.951229424500714,0.9989265685701552,0.0005370039849916372,0
35,0.6288792761534687,0.9048374180359595,0.9988770350589693,0.0005617979692982033,0
36,0.6376851532398099,0.8607079764250578,0.9988974607208506,0.0005515737613482039,0
37,0.6466205683448744,0.8187307530779818,0.9989120450243696,0.0005442736141233087,0
38,0.6556576927748538,0.7788007830714049,0.9989279283192559,0.0005363233803215555,0
39,0.6117435740374724,1.0,0.9989342464015047,0.0005331609588447966,1
40,0.6202169084790043,0.951229424500714,0.9989250962737162,0.0005377409248079641,0
41,0.6288690832471237,0.9048374180359595,0.9989353084524213,0.0005326293671230702,0
42,0.6117451147273167,1.0,0.9989250546471605,0.0005377617604825792,1
43,0.6117447200990582,1.0,0.9989274089869532,0.0005365833252199464,1
44,0.6117485046787067,1.0,0.99890483064614,0.0005478847450119863,1
45,0.6202199785670895,0.951229424500714,0.9989071983274284,0.0005466996078449084,0
46,0.6117430194015083,1.0,0.9989375553902337,0.0005315047020590159,1
47,0.6202167556320319,0.951229424500714,0.9989259873502905,0.0005372949072936353,0
48,0.6117492997830907,1.0,0.9989000872475138,0.0005502590502225521,1
49,0.6202168157002704,0.951229424500714,0.9989256371606858,0.0005374701903829197,0
50,0.6288747930503318,0.9048374180359595,0.9989026646328011,0.0005489689402330214,0
51,0.611746267346112,1.0,0.9989181782072449,0.0005412036921629587,1
52,0.6202197559976063,0.951229424500714,0.9989084958437767,0.0005460501403529048,0
53,0.628870196226448,0.9048374180359595,0.9989289452656418,0.0005358143616829699,0
54,0.637679189941025,0.8607079764250578,0.998931008345543,0.0005347817167783322,0
55,0.6117450968289775,1.0,0.9989251614279104,0.0005377083126570118,1
56,0.6117464178604067,1.0,0.9989172802551438,0.0005416531546536486,1
57,0.611747359964506,1.0,0.9989116597908462,0.0005444664407088045,1
58,0.6202182408553379,0.951229424500714,0.9989173287531304,0.00054162887937761,0
59,0.6288722220294314,0.9048374180359595,0.9989173633741391,0.0005416115501116964,0
60,0.6376848963576969,0.8607079764250578,0.9988989058280714,0.0005508504107380412,0
61,0.6466290939442685,0.8187307530779818,0.9988646988346114,0.0005679730539694559,0
62,0.611750451998641,1.0,0.99889321347075,0.0005536997348826514,1
63,0.6117531219452479,1.0,0.9988772856323427,0.0005616725417765319,1
64,0.6202207257056551,0.951229424500714,0.998902842741124,0.0005488797882499076,0
65,0.6117487758712927,1.0,0.9989032127735918,0.000548694568835422,1
66,0.6117413935268552,1.0,0.9989472555426621,0.0005266494910000766,1
67,0.6202163936570849,0.951229424500714,0.998928097618366,0.0005362386399258717,0
68,0.6288718277316581,0.9048374180359595,0.9989196176333939,0.0005404832001631087,0
69,0.6117418650961648,1.0,0.9989444420921901,0.0005280577007019712,1
70,0.6117427183254692,1.0,0.9989393516333533,0.0005306056260881923,1
71,0.6202155184511433,0.951229424500714,0.9989331999843633,0.0005336847258962292,0
72,0.611745752851666,1.0,0.998921247634933,0.0005396673185944656,1
73,0.6117509216549759,1.0,0.9988904116604689,0.0005551021942110071,1
74,0.6202216790604118,0.951229424500714,0.9988972850176364,0.0005516617099298222,0
75,0.611749851987077,1.0,0.9988967929532137,0.0005519080138047582,1
76,0.6117495728810495,1.0,0.9988984580195567,0.0005510745618570693,1
77,0.620218374230716,0.951229424500714,0.9989165512027843,0.0005420180760740444,0
78,0.6288696819734859,0.9048374180359595,0.9989318853742104,0.0005343427333675621,0
79,0.6376794246285465,0.8607079764250578,0.9989296880406293,0.0005354425761245802,0
80,0.6466241832687867,0.8187307530779818,0.9988919695162803,0.0005543224016639691,0
81,0.611746353228916,1.0,0.9989176658395211,0.0005414601535360629,1
82,0.6202181345580658,0.951229424500714,0.9989179484444428,0.0005413186979930454,0
83,0.6117439321007586,1.0,0.9989321101849292,0.0005342302078306367,1
84,0.6202173029425251,0.951229424500714,0.9989227966115315,0.0005388919945129906,0
85,0.6117439554090309,1.0,0.9989319711272974,0.000534299810979878,1
86,0.6202167201868405,0.951229424500714,0.998926193990985,0.0005371914758703835,0
87,0.6288793837281417,0.9048374180359595,0.9988764200733594,0.0005621058078897305,0
88,0.637684570414989,0.8607079764250578,0.9989007394440904,0.0005499325929661706,0
89,0.611748759128207,1.0,0.9989033126588737,0.000548644571360412,1
90,0.620218493695684,0.951229424500714,0.9989158547479298,0.000542366681318656,0
91,0.6288682410021944,0.9048374180359595,0.9989401238181138,0.0005302191239143008,0
92,0.6376783251620106,0.8607079764250578,0.9989358734382132,0.0005323465732187087,0
93,0.6466153146125103,0.8187307530779818,0.9989412225503757,0.0005296691752079922,0
94,0.6556559875123655,0.7788007830714049,0.9989373062147815,0.0005316294223089741,0
95,0.6647775593680378,0.7408182206817179,0.9989060097005099,0.0005472945718354,0
96,0.6117455870951475,1.0,0.9989222365264548,0.0005391723391179845,1
97,0.6117457087521111,1.0,0.9989215107295766,0.0005395356292297577,1
98,0.6202177744394242,0.951229424500714,0.9989200478663965,0.0005402678510487168,0
99,0.6117448954292729,1.0,0.998926362971374,0.0005371068948594464,1
100,0.6202222567266593,0.951229424500714,0.9988939174476879,0.0005533473565301093,0
101,0.6288729565031317,0.9048374180359595,0.998913164296697,0.0005437133687514538,0
102,0.63767809538593,0.8607079764250578,0.9989371661226452,0.0005316995428987451,0
103,0.6466199017886884,0.8187307530779818,0.9989157468033837,0.0005424207121718859,0
104,0.6117441053630316,1.0,0.9989310764993388,0.0005347476034147131,1
