,Acc,macro_F1,ECE,Brier,AUC_ovo,lambda_bar,post_var,KL,loss
HINN (full),0.22358722358722358,0.22477688289678266,0.015236042882709341,0.3229597392785576,0.5436833557369557,0.6227523472319206,0.00018069398572270138,149.16610840238565,1.22919394000925
Data-only (lambda=1),0.21283783783783783,0.21046087990157722,0.010881921985111164,0.3180536187362674,0.5620555652959004,0.9999994243809869,4.65008488221194e-05,149.1547503315672,1.20047342831733
Human-only (lambda=0),0.30067567567567566,0.2760181277357619,0.13705397760859997,0.3512103051910764,0.48076665620482323,0.0014700304181825567,4.9808247922897084e-05,149.18777929670128,1.2108251019775114
