ep,lam_mean,lam_std,rho_mean,c_mean,post_var_mean,kl
1,0.6227967529935771,0.01612134617547714,0.9421157132275346,0.9986577351129292,0.00022386111751825213,149.22070254733808
2,0.6227967777131045,0.016121394888114718,0.9421157132275346,0.9986575982359822,0.00022388393543522545,149.2193354949707
3,0.622682297637588,0.01611886055960678,0.9421157132275346,0.9993246923826423,0.00011258930178249385,149.217906704918
4,0.6227455018073923,0.01612025354205813,0.9421157132275346,0.9989563121919101,0.00017403885241910698,149.21645974975334
5,0.6228698562973619,0.016123046076152576,0.9421157132275346,0.9982320910604275,0.00029491230519170284,149.21500420612716
6,0.6228580394623566,0.01612273167224195,0.9421157132275346,0.9983008704753438,0.0002834291272008407,149.21355371045496
7,0.6227788875962954,0.016120964525871972,0.9421157132275346,0.9987618005926252,0.00020649445578489671,149.21218221213527
8,0.6227202346042351,0.016119662979073454,0.9421157132275346,0.9991035526350843,0.0001494749259270246,149.2108214374769
9,0.6227821835953219,0.016121029909220323,0.9421157132275346,0.9987425987417163,0.00020969876461503643,149.20940021788888
10,0.6228633495636996,0.016122854105522357,0.9421157132275346,0.9982699607527852,0.0002885895972840338,149.20797888278707
11,0.6228278685099841,0.01612210322017676,0.9421157132275346,0.9984765392925781,0.0002541037468594914,149.20660217243264
12,0.6226833969901304,0.016118852517466038,0.9421157132275346,0.9993182783235938,0.00011365903130897666,149.20521108810763
13,0.6227087335505106,0.016119422858730775,0.9421157132275346,0.9991705868036935,0.00013829289417110325,149.20381614758682
14,0.6227366918994083,0.016120055692893508,0.9421157132275346,0.9990076485732536,0.00016547402291049876,149.20239848053671
15,0.6228468224124766,0.01612248512385516,0.9421157132275346,0.9983661737071691,0.0002725270780569325,149.20095863969232
16,0.6227348061562621,0.01612001723495592,0.9421157132275346,0.9990186375848542,0.00016364071542182202,149.19951343080126
17,0.6226902221386389,0.016119025866575102,0.9421157132275346,0.9992784954065976,0.00012029418045414533,149.1981004575804
18,0.6227685148884108,0.016120718274513827,0.9421157132275346,0.9988222257014772,0.00019641154878745806,149.19669328960035
19,0.6228716437646132,0.016123024846238274,0.9421157132275346,0.998221675935808,0.0002966512184461976,149.19530818543996
20,0.6226477431580355,0.016118067762081755,0.9421157132275346,0.9995261668091121,7.899091682068068e-05,149.1939972772291
21,0.6226929388641371,0.01611907918580385,0.9421157132275346,0.9992626566446607,0.00012293589383249138,149.1925594275847
22,0.6227940109509295,0.016121318747612096,0.9421157132275346,0.998673712378601,0.00022119467175985255,149.19111603761505
23,0.622696796520954,0.01611915139931639,0.9421157132275346,0.999240163575246,0.00012668755665743857,149.18967055790947
24,0.6226476407756625,0.016118062133015414,0.9421157132275346,0.9995267623324312,7.889161822759137e-05,149.18822641818704
25,0.6227230711502834,0.01611973779811981,0.9421157132275346,0.9990870235890724,0.0001522322628452672,149.1868183327712
26,0.622876897072671,0.016123193518623777,0.9421157132275346,0.9981911097722052,0.0003017547658135215,149.18538452975312
27,0.6227966716783291,0.01612137769929918,0.9421157132275346,0.9986582114775125,0.00022378159798238083,149.18397019604697
28,0.6227633785500571,0.01612065125983947,0.9421157132275346,0.9988521565228728,0.0001914171290669079,149.1825917772933
29,0.6227121702914358,0.016119503997632036,0.9421157132275346,0.9991505539584834,0.00014163451575747229,149.18124830411588
30,0.6228226878619342,0.016121989934975562,0.9421157132275346,0.9985067095918028,0.00024906781195006453,149.17982389520196
31,0.6227939438096024,0.016121338802667758,0.9421157132275346,0.9986741108339368,0.00022112820192772854,149.17840560832272
32,0.6226749599295901,0.016118689321664142,0.9421157132275346,0.9993674711348804,0.00010545484614028128,149.17701269610006
33,0.6226992876979189,0.016119227177184236,0.9421157132275346,0.9992256474051069,0.00012910876382633146,149.17558111486582
34,0.6227830484707482,0.016121081961626215,0.9421157132275346,0.9987375656285377,0.0002105386540686116,149.17419121263507
35,0.622884698439627,0.016123334149807655,0.9421157132275346,0.9981456984016509,0.0003093371845594676,149.17278502577636
36,0.6226608686559606,0.016118370957163723,0.9421157132275346,0.9994496321991206,9.175322413788901e-05,149.17153881480988
37,0.622756168847581,0.0161204835562412,0.9421157132275346,0.9988941575920688,0.00018440905761190626,149.17013183871697
38,0.6228476357719681,0.016122519844481698,0.9421157132275346,0.9983614428747299,0.0002733168412335155,149.1687479532245
39,0.6226627097899916,0.016118404518667792,0.9421157132275346,0.9994388918281724,9.354428329296238e-05,149.1674179562588
40,0.6227523472319206,0.016120395384429335,0.9421157132275346,0.9989164237200476,0.00018069398572270138,149.16610840238565
