ep,L_total,L_data,L_human,L_kl,acc_tr,acc_va,f1_tr,f1_va,acc_h_tr,f1_h_va,lam_mean,lam_std,rho_mean,c_mean,kl,post_var_mean,grad_norm,grad_scale,ece_tr,brier_tr,auc_tr_ovo
27,1.2505320136004368,0.0019724834276164407,1.0993842400210834,0.14917529015173692,0.3551779935275081,0.3441333752752438,0.35453746770817246,0.3243134898357085,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.1752901517369,8.361820220184629e-05,0.0008206463195400847,1.0,0.06683991607250384,0.33820994541194777,0.52738828748996
28,1.2486439236039542,0.0019724586257340287,1.0974978778651108,0.14917358711310935,0.3551779935275081,0.3441333752752438,0.35453746770817246,0.3243134898357085,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.17358711310933,0.00010945707180313263,0.000732013959582259,1.0,0.06683532924641492,0.33820919775243524,0.527387277869876
29,1.249564303414697,0.001972435947266399,1.0984200457588356,0.14917182170859516,0.35504314994606256,0.34381881094683864,0.3544095948316246,0.32397174156992464,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.17182170859516,0.00020141412939292806,0.0007758378281115793,1.0,0.06696690861813295,0.3382082925322005,0.5273888450960996
30,1.2514972687739674,0.0019724116621706355,1.100354721104958,0.14917013600683862,0.3551779935275081,0.34381881094683864,0.3545588933053403,0.32396363091299113,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.17013600683862,0.00019350073302260454,0.0009201689564796979,1.0,0.0668265353723446,0.33820746004808894,0.5273891280384101
31,1.2480022046268668,0.0019723864409369927,1.0968614113601651,0.14916840682576488,0.3551779935275081,0.34381881094683864,0.3545588933053403,0.32396363091299113,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.16840682576486,5.74674452161255e-05,0.0007149877047817122,1.0,0.06682163924013448,0.33820689517854124,0.5273877689600254
32,1.2499658210808242,0.0019723640608273227,1.0988267803806686,0.14916667663932834,0.3551779935275081,0.34381881094683864,0.3545588933053403,0.32396363091299113,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.16667663932833,0.00022603399180517748,0.001072144886833291,1.0,0.06681766497775032,0.3382060511928347,0.5273894346636047
33,1.24896731665183,0.0019723397166706994,1.0978300199637863,0.1491649569713731,0.3553128371089536,0.34381881094683864,0.35470907971167637,0.32396363091299113,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.1649569713731,9.335984097596093e-05,0.000888636908046257,1.0,0.06667754472273853,0.3382058023838697,0.5273860087465551
34,1.248200632758643,0.001972317851332185,1.097065106401892,0.14916320850541884,0.3551779935275081,0.34381881094683864,0.354581120409301,0.32396363091299113,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.16320850541882,0.00010983777697480874,0.0009673787443668646,1.0,0.06680886871078509,0.33820546002281365,0.527385914225582
35,1.248589829854388,0.0019722952999209464,1.097456040943897,0.14916149361057,0.3551779935275081,0.34381881094683864,0.354581120409301,0.32396363091299113,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.16149361056998,0.0001952851900740176,0.0008417775248012599,1.0,0.06680466350425819,0.3382052240335545,0.5273838782843813
36,1.248871346873295,0.001972274915469279,1.0977392854354375,0.14915978652238807,0.3551779935275081,0.34381881094683864,0.354581120409301,0.32396363091299113,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.15978652238806,0.00019805758356948466,0.0010010684015471733,1.0,0.06680257616312858,0.33820480186301377,0.5273856740498837
37,1.2480880388448328,0.0019722607767126915,1.0969577058878919,0.14915807218022806,0.3551779935275081,0.3435042466184335,0.354581120409301,0.32363533794059934,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.15807218022806,0.0001839400899767195,0.0007558199926394412,1.0,0.066801830523937,0.33820496174289233,0.5273835723906187
38,1.249530841872111,0.0019722423700303296,1.0984021910993307,0.14915640840275,0.3551779935275081,0.34381881094683864,0.354581120409301,0.32396363091299113,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.15640840274997,0.0003829607506214436,0.0008631832093321775,1.0,0.06679831376748702,0.33820463250375726,0.527383519661015
39,1.2492014243139817,0.001972217981781959,1.0980744479610902,0.14915475837110956,0.3551779935275081,0.3435042466184335,0.354581120409301,0.32363533794059934,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.15475837110955,7.388719248047899e-05,0.0009314754418956157,1.0,0.06679334174405668,0.3382033160904315,0.5273864693825322
40,1.2481669104327175,0.001972196288131809,1.0970416945492307,0.1491530195953549,0.35504314994606256,0.3435042466184335,0.35444729415094667,0.32363533794059934,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.1530195953549,4.441768573483915e-05,0.0008091109062080355,1.0,0.06692510722048063,0.3382030072489612,0.5273855677705858
