t,lambda_final,rho_final,c_final,cov_trace_final,m_train
0,1.0,0.0,0.9988952534806151,0.0005526786008141802,0
1,1.0,0.0,0.9989032009531138,0.0005487004855638262,0
2,1.0,0.0,0.9989162361662768,0.0005421757652007405,0
3,0.6117478005587791,1.0,0.9989090312818916,0.000545782128831592,1
4,0.6202174799836093,0.951229424500714,0.9989217644914564,0.0005394086113184623,0
5,0.6117492290658246,1.0,0.9989005091280898,0.0005500478777077292,1
6,0.611756730409388,1.0,0.9988557595766898,0.0005724477830958152,1
7,0.6117469441425324,1.0,0.9989141405220683,0.0005432247252290577,1
8,0.6202287420859756,0.951229424500714,0.9988561114313043,0.0005722716542859049,0
9,0.6288716843054509,0.9048374180359595,0.9989204376241494,0.0005400727615229375,0
10,0.6117461906080401,1.0,0.9989186360187976,0.0005409745385357269,1
11,0.6202171394927358,0.951229424500714,0.9989237494979675,0.0005384150377427926,0
12,0.6288762842670492,0.9048374180359595,0.9988941393565752,0.0005532362792381197,0
13,0.6117541355656801,1.0,0.9988712388760773,0.0005646993272758912,1
14,0.611751357213451,1.0,0.9988878132769701,0.000556402830821422,1
15,0.6202286740392724,0.951229424500714,0.998856508094926,0.000572073095385186,0
16,0.6288778837434938,0.9048374180359595,0.9988849952698438,0.0005578134051941636,0
17,0.6376890143392637,0.8607079764250578,0.9988757401767646,0.0005624461386916931,0
18,0.6466164570808706,0.8187307530779818,0.9989348775625945,0.0005328450417098153,0
19,0.6556679228637303,0.7788007830714049,0.9988716712752809,0.000564482883407505,0
20,0.6647779201083543,0.7408182206817179,0.998904039578032,0.0005482807128745152,0
21,0.611751282380992,1.0,0.9988882596994919,0.0005561793710813811,1
22,0.6117523371193236,1.0,0.9988819675518354,0.0005593289563393392,1
23,0.611747972357289,1.0,0.9989080063646111,0.0005462951474219453,1
24,0.6117562375144074,1.0,0.9988586998683142,0.0005709759553225938,1
25,0.6117544113943583,1.0,0.998869593428617,0.0005655229813924182,1
26,0.611747749788697,1.0,0.9989093341668605,0.0005456305209706616,1
27,0.611749081414735,1.0,0.9989013899764456,0.0005496069689488702,1
28,0.6117442087377913,1.0,0.9989304597645735,0.0005350563008665049,1
29,0.6117459478194324,1.0,0.9989200844730743,0.0005402495279220504,1
30,0.6117488211492225,1.0,0.9989029426562673,0.0005488297758091867,1
31,0.6202162952919206,0.951229424500714,0.9989286710759084,0.000535951603561983,0
32,0.6288728969736566,0.9048374180359595,0.9989135046332148,0.0005435430153753504,0
33,0.6117482977484143,1.0,0.9989060651472762,0.000547266818090671,1
34,0.6202232099602564,0.951229424500714,0.998888360501283,0.0005561289140933188,0
35,0.628876856637515,0.9048374180359595,0.9988908671445615,0.0005548741992360392,0
36,0.6376880749401523,0.8607079764250578,0.9988810246931492,0.0005598009135684399,0
37,0.6466241036723333,0.8187307530779818,0.9988924115504754,0.000554101139450057,0
38,0.6117470077178546,1.0,0.9989137612406805,0.0005434145721059893,1
39,0.6117530359973238,1.0,0.9988777983575089,0.0005614158911138029,1
40,0.6202187787293924,0.951229424500714,0.9989141930660229,0.000543198424693755,0
41,0.6117502785065719,1.0,0.9988942484685253,0.0005531816628679845,1
42,0.6117516178612129,1.0,0.9988862583520337,0.0005571811595415721,1
43,0.6202188780422908,0.951229424500714,0.9989136140952629,0.0005434882248246243,0
44,0.6117564717495588,1.0,0.9988573025717749,0.0005716754023599388,1
45,0.6202210440540801,0.951229424500714,0.998900986876684,0.0005498087405385912,0
46,0.6288773028057613,0.9048374180359595,0.9988883164341149,0.0005561509721985263,0
47,0.6376871112654139,0.8607079764250578,0.9988864458076433,0.0005570873272406259,0
48,0.6117477549230265,1.0,0.998909303536389,0.0005456458529286974,1
49,0.6117498132252841,1.0,0.998897024194681,0.0005517922653900127,1
50,0.6202188419336139,0.951229424500714,0.9989138246002727,0.000543382857861646,0
51,0.6288746070665063,0.9048374180359595,0.9989037279080341,0.00054843671887416,0
52,0.6376832610092903,0.8607079764250578,0.9989081056512984,0.0005462454498112706,0
53,0.6466213338871247,0.8187307530779818,0.998907793538212,0.0005464016769623763,0
54,0.6117507253656277,1.0,0.998891582654663,0.0005545160470750655,1
55,0.6202219405751839,0.951229424500714,0.9988957604860412,0.0005524248177995787,0
56,0.6288770571825818,0.9048374180359595,0.9988897206423428,0.0005554480871923688,0
57,0.6117536012273076,1.0,0.9988744264666884,0.0005631037334691312,1
58,0.6117469387769763,1.0,0.998914172532228,0.0005432087027513173,1
59,0.6117489755418583,1.0,0.9989020215874658,0.00054929081621007,1
60,0.6117510035202688,1.0,0.9988899232811239,0.000555346655194232,1
61,0.6117485034738832,1.0,0.9989048378338485,0.0005478811472175703,1
62,0.6117567232188689,1.0,0.9988558024705682,0.0005724263115885518,1
63,0.6117489268295728,1.0,0.9989023121929398,0.0005491453537795664,1
64,0.6117510433815827,1.0,0.9988896854827712,0.0005554656865186269,1
65,0.611750173526442,1.0,0.99889487474693,0.0005528681771264864,1
66,0.6117434869404608,1.0,0.9989347660259891,0.0005329008694790488,1
67,0.6117465205937936,1.0,0.9989166673594962,0.0005419599347283015,1
68,0.6117508980513539,1.0,0.9988905524713858,0.0005550317105496574,1
69,0.6117580860053864,1.0,0.998847673037461,0.000576495700868243,1
70,0.6202257874864077,0.951229424500714,0.9988733348408348,0.0005636501617393802,0
71,0.6288734198465205,0.9048374180359595,0.9989105153172589,0.0005450393012974472,0
72,0.6376812390758761,0.8607079764250578,0.9989194803999264,0.0005405518911140558,0
73,0.6117425207188021,1.0,0.9989405305727646,0.000530015530846916,1
74,0.6202203911828725,0.951229424500714,0.998904792901934,0.0005479036378061256,0
75,0.6288802319055568,0.9048374180359595,0.9988715712092463,0.0005645329729447615,0
76,0.6376859898196432,0.8607079764250578,0.9988927545046687,0.0005539294722462143,0
77,0.6117564709385019,1.0,0.9988573074100147,0.000571672980472543,1
78,0.6117511302612406,1.0,0.9988891671900764,0.0005557251209871788,1
79,0.6117503924992095,1.0,0.9988935684250035,0.0005535220611405174,1
80,0.6117522064932016,1.0,0.9988827468118894,0.0005589388903579472,1
81,0.6117482419661907,1.0,0.9989063979322858,0.0005471002433917385,1
82,0.6117534289944041,1.0,0.998875453923727,0.0005625894263235555,1
83,0.6117577680074088,1.0,0.9988495699825589,0.0005755461350095919,1
84,0.6117498352690282,1.0,0.998896892688171,0.0005518580912536926,1
85,0.6117530103664677,1.0,0.9988779512593005,0.0005613393543342014,1
86,0.6117486132735296,1.0,0.9989041827939507,0.0005482090263546697,1
87,0.6202261357828383,0.951229424500714,0.9988713044753162,0.0005646664905927215,0
88,0.628884207740307,0.9048374180359595,0.9988488425662658,0.000575910262191392,0
89,0.6117520803619617,1.0,0.9988834992582473,0.0005585622465141757,1
90,0.6202240862709507,0.951229424500714,0.9988832520215517,0.0005586860030514926,0
91,0.6288731071629307,0.9048374180359595,0.998912302958857,0.0005441445064329397,0
92,0.6117478015017941,1.0,0.9989090256560389,0.0005457849448300521,1
93,0.6202271830560399,0.951229424500714,0.9988651995173854,0.0005677224281093831,0
94,0.6288773049960931,0.9048374180359595,0.9988883039121741,0.0005561572401369178,0
95,0.637684844000548,0.8607079764250578,0.9988992003669864,0.0005507029789659666,0
96,0.6117496430389151,1.0,0.9988980394775026,0.0005512840637030298,1
97,0.6202172576631878,0.951229424500714,0.9989230605827817,0.0005387598665766367,0
98,0.611748376609189,1.0,0.9989055946807697,0.0005475023090110596,1
99,0.6202275770793721,0.951229424500714,0.9988629026177368,0.000568872183997634,0
100,0.6288739982317993,0.9048374180359595,0.9989072086454566,0.0005466944431868778,0
101,0.6376874837709221,0.8607079764250578,0.9988843502879996,0.0005581362562007546,0
102,0.6117483300728599,1.0,0.9989058723065104,0.0005473633440760364,1
103,0.6202179285015856,0.951229424500714,0.9989191497130555,0.0005407174134269873,0
104,0.6117478670658342,1.0,0.9989086345132455,0.0005459807298614858,1
105,0.6117446303293506,1.0,0.9989279445513695,0.0005363152555545163,1
106,0.6117506766755825,1.0,0.9988918731229092,0.0005543706518145258,1
107,0.6202189080652362,0.951229424500714,0.9989134390686714,0.0005435758333047215,0
108,0.611750315393038,1.0,0.9988940284156206,0.0005532918111290523,1
109,0.6117506385998733,1.0,0.9988921002697253,0.000554256952426027,1
110,0.6117493000944084,1.0,0.9989000853902745,0.0005502599798647208,1
111,0.6202251556487652,0.951229424500714,0.9988770181016413,0.0005618064574942413,0
112,0.628878836514901,0.9048374180359595,0.9988795484011859,0.0005605398869885786,0
113,0.637688227313514,0.8607079764250578,0.9988801675262456,0.0005602299773158372,0
114,0.6466262208784961,0.8187307530779818,0.9988806538530155,0.0005599865413826553,0
115,0.6117505786669917,1.0,0.9988924578092044,0.0005540779844398427,1
116,0.6202196565803281,0.951229424500714,0.9989090754188131,0.0005457600362689994,0
117,0.6288751357464578,0.9048374180359595,0.9989007054325583,0.000549949617446887,0
118,0.611745937997549,1.0,0.9989201430695844,0.0005402201979940271,1
119,0.6202252698071091,0.951229424500714,0.9988763526207795,0.0005621395721177051,0
120,0.6117483469127072,1.0,0.9989057718435868,0.0005474136305602256,1
121,0.6202196028940626,0.951229424500714,0.9989093883949847,0.0005456033773046079,0
122,0.6117513823426188,1.0,0.9988876633658001,0.0005564778698694052,1
123,0.6202202702789702,0.951229424500714,0.9989054977343428,0.0005475508353343136,0
124,0.6288750229539488,0.9048374180359595,0.9989013502688933,0.000549626844560968,0
125,0.6376845540936965,0.8607079764250578,0.9989008312609033,0.0005498866340410074,0
126,0.6117517114560005,1.0,0.9988857000021854,0.0005574606458192807,1
127,0.6202214756988975,0.951229424500714,0.9988984705401618,0.0005510682946509756,0
128,0.6117522198189299,1.0,0.9988826673162037,0.0005589786826604275,1
129,0.6202229300323857,0.951229424500714,0.9988899923571297,0.0005553120788101019,0
130,0.6288724264617376,0.9048374180359595,0.9989161946068291,0.0005421965674697405,0
131,0.6376823337510563,0.8607079764250578,0.9989133220878639,0.0005436343873344036,0
132,0.6466200984848333,0.8187307530779818,0.9989146544321131,0.0005429674909524657,0
133,0.6556604975981563,0.7788007830714049,0.9989125037385701,0.0005440440072738437,0
134,0.6647803344607938,0.7408182206817179,0.9988908541098693,0.0005548807238187934,0
135,0.6739500864207617,0.7046880897187134,0.9988719032009474,0.0005643667895956896,0
136,0.6831372392017928,0.6703200460356393,0.998898254241976,0.0005511765630163963,0
137,0.6117485818432474,1.0,0.9989043702998515,0.0005481151705643166,1
138,0.6117454027100718,1.0,0.9989233365563385,0.0005386217310537611,1
139,0.6117505766294955,1.0,0.9988924699642271,0.000554071900189969,1
140,0.6117534800071978,1.0,0.9988751496062516,0.0005627417563866428,1
141,0.6117516421244117,1.0,0.998886113607247,0.0005572536126341795,1
142,0.6117502141997829,1.0,0.998894632102513,0.0005529896335742669,1
143,0.6117526371330583,1.0,0.9988801778005597,0.0005602248343996371,1
144,0.6117450316019352,1.0,0.9989255505698842,0.0005375135323506424,1
145,0.6117514671195261,1.0,0.9988871576188862,0.0005567310249840842,1
146,0.6117492121897664,1.0,0.9989006098062455,0.000549997483224123,1
147,0.6117552598559133,1.0,0.9988645319828777,0.0005680565746644002,1
148,0.6202262348207798,0.951229424500714,0.9988707271428204,0.000564955483108603,0
149,0.6288766057169332,0.9048374180359595,0.9988923016426142,0.0005541561543175079,0
150,0.6376882945827267,0.8607079764250578,0.9988797891077602,0.0005604193987146698,0
151,0.6117448773251682,1.0,0.9989264709799234,0.0005370528325444264,1
152,0.6202245584932344,0.951229424500714,0.9988804992028869,0.0005600639531034537,0
153,0.6288747070833249,0.9048374180359595,0.9989031561086245,0.0005487229324287295,0
154,0.6376860169509748,0.8607079764250578,0.9988926018766632,0.0005540058708468395,0
155,0.6466252300830636,0.8187307530779818,0.9988861561174606,0.0005572323338257044,0
156,0.6117436491042811,1.0,0.9989337985500486,0.0005333851235273981,1
157,0.6202224493598142,0.951229424500714,0.9988927944747809,0.000553909465037675,0
158,0.6288690074662086,0.9048374180359595,0.9989357417132468,0.0005324125058669128,0
159,0.6376880937472182,0.8607079764250578,0.9988809188951143,0.0005598538718476774,0
160,0.6466248624871639,0.8187307530779818,0.9988881975269703,0.0005562104919414592,0
161,0.6556700657805059,0.7788007830714049,0.998859887470301,0.0005703814762031403,0
162,0.6647845066341369,0.7408182206817179,0.9988680691351304,0.0005662859912285966,0
163,0.611753625987058,1.0,0.9988742787622906,0.0005631776688932514,1
164,0.6202197311371935,0.951229424500714,0.9989086407730122,0.0005459775965585844,0
165,0.6288742286711304,0.9048374180359595,0.9989058912107384,0.0005473538816089774,0
166,0.6376854860374818,0.8607079764250578,0.9988955885496703,0.0005525108810268461,0
167,0.6466294897035286,0.8187307530779818,0.9988625010861449,0.0005690731783841159,0
168,0.655669197596552,0.7788007830714049,0.998864661556084,0.0005679917144187194,0
169,0.6647805440923493,0.7408182206817179,0.9988897092611928,0.0005554537840925505,0
170,0.6739456723696601,0.7046880897187134,0.9988959097662027,0.0005523500952127885,0
171,0.6831300326463998,0.6703200460356393,0.998937391116959,0.0005315869260615231,0
172,0.6923330798161641,0.6376281516217733,0.9988888103164257,0.0005559037562782997,0
173,0.6117490972442426,1.0,0.9989012955416263,0.0005496542382913446,1
174,0.6117507078803367,1.0,0.9988916869659459,0.0005544638335620035,1
175,0.6202209366365823,0.951229424500714,0.9989016130840844,0.0005494952924529978,0
176,0.6288721286174843,0.9048374180359595,0.9989178974235671,0.0005413442360651018,0
177,0.6376829001626438,0.8607079764250578,0.9989101356465043,0.0005452293437591924,0
178,0.6117500831015181,1.0,0.9988954141940294,0.0005525981552415839,1
179,0.6117518283670998,1.0,0.9988850025570084,0.000557809757544699,1
180,0.6202178850230254,0.951229424500714,0.9989194031847435,0.0005405905404683901,0
181,0.6117508726599072,1.0,0.9988907039478687,0.0005549558881930274,1
182,0.611750172920142,1.0,0.9988948783639265,0.000552866366627323,1
183,0.6202150793863177,0.951229424500714,0.9989357597038261,0.0005324035009938417,0
184,0.6117565996929694,1.0,0.998856539344761,0.0005720574525804543,1
185,0.6202287919211662,0.951229424500714,0.99885582092792,0.0005724170723411948,0
186,0.6117467419199765,1.0,0.9989153469546946,0.000542620853560363,1
187,0.6202317340881489,0.951229424500714,0.998838670420039,0.0005810022228512833,0
188,0.6117455899690557,1.0,0.9989222193809114,0.0005391809211391424,1
189,0.6117522339618993,1.0,0.9988825829452114,0.0005590209153463214,1
190,0.620225203622872,0.951229424500714,0.9988767384386957,0.0005619464461913674,0
191,0.6288796687394904,0.9048374180359595,0.998874790715756,0.0005629214037430289,0
192,0.6376911761793119,0.8607079764250578,0.9988635790512522,0.0005685335823313789,0
193,0.6466252849588512,0.8187307530779818,0.9988858513703367,0.0005573848773205233,0
194,0.6117492102363801,1.0,0.9989006214596392,0.0005499916501144896,1
195,0.6117472360399623,1.0,0.9989123991050304,0.0005440963810026352,1
196,0.61174824373224,1.0,0.9989063873964044,0.0005471055170998158,1
197,0.6202257873781336,0.951229424500714,0.9988733354720103,0.0005636498457956792,0
198,0.6288806547249914,0.9048374180359595,0.9988691540452929,0.0005657429217248405,0
199,0.6376830609744628,0.8607079764250578,0.9989092309756087,0.0005456821729342028,0
200,0.6466222543828353,0.8187307530779818,0.9989026815378377,0.0005489604784293832,0
201,0.6556593255157701,0.7788007830714049,0.9989189493440754,0.0005408177063286396,0
202,0.6647762788960119,0.7408182206817179,0.9989130028176333,0.0005437941961358911,0
203,0.6117493426646409,1.0,0.9988998314276141,0.0005503871010335144,1
204,0.6117515191331792,1.0,0.9988868473253254,0.0005568863446348918,1
205,0.6202203175212382,0.951229424500714,0.9989052223264264,0.0005476886901939357,0
206,0.6288706429599861,0.9048374180359595,0.9989263911914746,0.0005370927696440293,0
207,0.6376820772902025,0.8607079764250578,0.9989147648548056,0.0005429122196208078,0
208,0.6117489430315927,1.0,0.9989022155356739,0.0005491937355228953,1
209,0.611751631502111,1.0,0.998886176975749,0.0005572218930522005,1
210,0.6202226199767906,0.951229424500714,0.9988917998487374,0.0005544073295452742,0
211,0.6288718987219215,0.9048374180359595,0.9989192117709466,0.0005406863509084579,0
212,0.6376840170670719,0.8607079764250578,0.9989038523557178,0.0005483744267470443,0
213,0.6466181761682838,0.8187307530779818,0.998925330267835,0.0005376238018663534,0
214,0.6117433573866397,1.0,0.9989355389503578,0.000532513995332726,1
215,0.611754379900576,1.0,0.9988697813035972,0.0005654289376035108,1
216,0.6202224170120545,0.951229424500714,0.998892983048931,0.0005538150734605792,0
217,0.628880075557777,0.9048374180359595,0.9988724650164736,0.0005640855646626653,0
218,0.6117534903240592,1.0,0.9988750880608992,0.0005627725637174018,1
219,0.611753870227941,1.0,0.9988728217439968,0.0005639069995945271,1
220,0.6117493675855316,1.0,0.9988996827562673,0.0005504615185842919,1
221,0.6202207961661025,0.951229424500714,0.9989024319799475,0.0005490853944626735,0
222,0.6117486863434497,1.0,0.9989037468756629,0.0005484272246516275,1
223,0.6202202595226117,0.951229424500714,0.9989055604406245,0.0005475194478407893,0
224,0.6288789591733972,0.9048374180359595,0.9988788471816417,0.0005608908901658334,0
225,0.6117527747016149,1.0,0.9988793571280726,0.0005606356308307242,1
